SITE,YEAR,MONTH,DAY,STID,TMAX,TMIN,TAVG,RAIN,TR05,TR25,TR60,TR75
MARE,1997,3,1,MARE,56.41,36.42,48.88,0,1.5061,1.5722,1.5726,1.6281
MARE,1997,3,2,MARE,52.59,29.87,39.7,0,1.51,1.5713,1.5718,1.6285
MARE,1997,3,3,MARE,70.99,27.79,49.03,0,1.5137,1.5728,1.5684,1.6255
MARE,1997,3,4,MARE,55.51,39.41,46.16,0,1.5101,1.5654,1.5666,1.626
MARE,1997,3,5,MARE,50.9,29.35,39.45,0,1.5269,1.5636,1.5644,1.6238
MARE,1997,3,6,MARE,64.92,31.44,47.95,0,1.5523,1.5602,1.5615,1.6185
MARE,1997,3,7,MARE,66.97,41.21,52.29,0,1.5948,1.5583,1.5617,1.6206
MARE,1997,3,8,MARE,63.5,36.75,51.92,0.01,1.6408,1.5532,1.5561,1.6174
MARE,1997,3,9,MARE,66.06,40.84,57.29,0.01,1.6639,1.5506,1.5563,1.6174
MARE,1997,3,10,MARE,70.48,34.15,52.3,0,1.7093,1.5504,1.5543,1.6159
MARE,1997,3,11,MARE,81.12,40.81,60.9,0,1.744,1.5445,1.5507,1.613
MARE,1997,3,12,MARE,73.35,48.11,60,0,1.8019,1.5445,1.5463,1.613
MARE,1997,3,13,MARE,58.95,37.04,52.1,0,1.862,1.5427,1.5441,1.6104
MARE,1997,3,14,MARE,40.99,25.72,32.29,0,1.934,1.5528,1.5501,1.617
MARE,1997,3,15,MARE,47.12,21.77,34.01,0,1.983,1.5489,1.5443,1.6115
MARE,1997,3,16,MARE,51.85,29.31,42.57,0,2.0309,1.5487,1.5404,1.607
MARE,1997,3,17,MARE,68.45,45.32,56.79,0,2.0518,1.5474,1.5439,1.6094
MARE,1997,3,18,MARE,66.67,38.83,51.91,0.01,2.0744,1.541,1.5394,1.6077
MARE,1997,3,19,MARE,58.87,37.65,45.48,0,2.1059,1.5421,1.5399,1.6043
MARE,1997,3,20,MARE,82.35,36.08,59.6,0,2.1187,1.539,1.5367,1.6035
MARE,1997,3,22,MARE,67.46,43.42,54.89,0,2.2634,1.5396,1.5386,1.6034
MARE,1997,3,23,MARE,75.6,42.52,58.24,0,2.3387,1.5453,1.5376,1.6059
MARE,1997,3,24,MARE,77.38,50.77,66.57,0.68,2.3997,1.5404,1.5276,1.5949
MARE,1997,3,25,MARE,58.91,40.05,49.24,0.01,2.3611,1.5402,1.5342,1.5955
MARE,1997,3,26,MARE,68.36,33.27,51.99,0,2.2327,1.5474,1.5328,1.5896
MARE,1997,3,27,MARE,74.7,45,62.05,0,2.1935,1.5445,1.528,1.5874
MARE,1997,3,28,MARE,68.7,46.65,59.39,0,2.1935,1.5396,1.5284,1.588
MARE,1997,3,29,MARE,80.85,42.88,59,0.15,2.2342,1.541,1.5272,1.5842
MARE,1997,3,30,MARE,62.64,39.51,51.99,0,2.2879,1.5453,1.5268,1.584
MARE,1997,3,31,MARE,71.82,33.54,56.56,0,2.27,1.5436,1.5224,1.5798
MARE,1997,4,1,MARE,67.59,49.17,59.26,0,2.2862,1.5423,1.5181,1.5797
MARE,1997,4,2,MARE,70.99,49.8,61.11,0,2.3084,1.5415,1.5201,1.5785
MARE,1997,4,3,MARE,75.49,55.08,62.73,0.07,2.3447,1.5436,1.5183,1.578
MARE,1997,4,4,MARE,63.88,54.5,59.79,0.71,1.9821,1.5413,1.5167,1.578
MARE,1997,4,5,MARE,73.94,46.58,61.46,0.05,1.5075,1.5372,1.5109,1.5712
MARE,1997,4,6,MARE,58.21,36.06,47.03,0,1.5177,1.5368,1.5091,1.571
MARE,1997,4,7,MARE,65.77,36.4,52,0,1.5314,1.537,1.5063,1.5689
MARE,1997,4,8,MARE,51.49,32.62,40.81,1.54,1.5516,1.5351,1.5071,1.5644
MARE,1997,4,9,MARE,51.8,32.96,42.32,0.01,1.5356,1.5278,1.5017,1.56
MARE,1997,4,10,MARE,69.51,48.63,57.39,0.63,1.5173,1.53,1.5037,1.561
MARE,1997,4,11,MARE,49.14,28.67,36.04,1.31,1.5178,1.5287,1.5017,1.5595
MARE,1997,4,12,MARE,39.21,26.15,31.93,0,1.5148,1.5322,1.5013,1.5616
MARE,1997,4,13,MARE,52.11,21.89,38.78,0,1.5087,1.5284,1.498,1.5563
MARE,1997,4,14,MARE,65.08,31.19,49.46,0,1.5031,1.5287,1.4996,1.561
MARE,1997,4,15,MARE,75,40.42,58.73,0,1.4972,1.5206,1.4936,1.558
MARE,1997,4,16,MARE,64.35,47.77,54.24,0.24,1.4904,1.515,1.4894,1.5527
MARE,1997,4,17,MARE,72.97,42.1,57.98,0,1.4885,1.5142,1.4904,1.5555
MARE,1997,4,18,MARE,81.52,50.85,66.26,0,1.499,1.509,1.4924,1.5536
MARE,1997,4,19,MARE,80.35,52.36,66.29,0,1.561,1.5118,1.49,1.5517
MARE,1997,4,20,MARE,84.02,49.57,68.05,0,1.672,1.508,1.4872,1.5533
MARE,1997,4,21,MARE,74.95,52.07,62.67,0,1.8134,1.5067,1.4848,1.5533
MARE,1997,4,22,MARE,68.4,51.82,59.07,0.1,1.9637,1.5065,1.4818,1.5516
MARE,1997,4,23,MARE,63.7,45.88,53.9,0,2.0862,1.5099,1.4846,1.5527
MARE,1997,4,24,MARE,57.99,44.2,50.33,0.19,2.1843,1.5184,1.4866,1.5544
MARE,1997,4,25,MARE,53.78,48.42,50.48,0.33,2.0081,1.521,1.4866,1.5548
MARE,1997,4,26,MARE,58.03,49.03,52.6,0.32,1.5175,1.5129,1.4777,1.5478
MARE,1997,4,27,MARE,65.55,48.18,55.91,0.06,1.5007,1.5088,1.4749,1.5442
MARE,1997,4,28,MARE,71.38,43.01,59.61,0,1.4977,1.5044,1.4731,1.544
MARE,1997,4,29,MARE,79.88,47.1,66.02,0,1.5124,1.5031,1.4737,1.5421
