"YEAR","MONTH","DAY","STID","TMAX","TMIN","TAVG","RAIN","TR05","TR25","TR60","TR75"
1994,1,1,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,2,MARE,-996.00,-996.00,-996.00,0.08,-999.,-999.,-999.,-999.
1994,1,3,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,4,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,5,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,6,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,7,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,8,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,9,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,10,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,11,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,12,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,13,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,14,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,15,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,16,MARE,-996.00,-996.00,-996.00,0.03,-999.,-999.,-999.,-999.
1994,1,17,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,18,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,19,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,20,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,21,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,22,MARE,-996.00,-996.00,-996.00,0.01,-999.,-999.,-999.,-999.
1994,1,23,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
1994,1,24,MARE,-996.00,-996.00,-996.00,0.00,-999.,-999.,-999.,-999.
