Site,Depth,Sand,Silt,Clay,BulkD,Th33,Th1500,Theta_r,Theta_s,Alpha,N,Ks,Ko,L
ACME,5,73,19.7,7.2,1.27,0.142,0.041,0.02,0.432,0.495,1.35,193,46.4,-1.24
ACME,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
ACME,25,60.3,23.9,15.7,1.33,0.196,0.09,0.037,0.425,0.348,1.35,80.6,23.3,-1.16
ACME,45,51.4,27.1,21.5,1.39,0.227,0.113,0.046,0.415,0.254,1.34,40.9,12.8,-1.06
ACME,60,52.5,25.9,21.5,1.6,0.214,0.129,0.055,0.365,0.342,1.32,21.9,12.8,-1.71
ACME,75,53.2,24.1,22.8,1.68,0.223,0.137,0.054,0.351,0.313,1.29,14,10.6,-1.86
ADAX,5,61.1,22,16.9,1.01,0.196,0.088,0.033,0.519,0.554,1.32,238.7,75.3,-1.51
ADAX,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
ADAX,25,51.1,25.4,23.5,1.79,0.26,0.147,0.043,0.331,0.142,1.27,3,4.7,-1.27
ADAX,45,48.8,27.8,23.4,1.76,0.244,0.132,0.043,0.334,0.161,1.29,5.2,5.6,-1.23
ADAX,60,47.6,24.6,27.8,1.85,0.301,0.181,0.043,0.33,0.089,1.24,0.8,2.7,-1.06
ADAX,75,43.6,26.6,29.8,1.86,0.316,0.196,0.044,0.334,0.083,1.22,0.5,2.4,-1.14
ALTU,5,23.8,40,36.2,1.57,0.304,0.17,0.061,0.399,0.108,1.31,5.9,3.1,-0.63
ALTU,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
ALTU,25,17.8,45.2,37,1.56,0.334,0.2,0.066,0.412,0.104,1.28,4,2.7,-0.74
ALTU,45,15.5,37.7,46.7,1.63,0.371,0.246,0.065,0.414,0.095,1.21,1.8,2.3,-1.25
ALTU,60,14.3,40.9,44.8,1.69,0.356,0.244,0.064,0.396,0.131,1.19,1.3,3.1,-2.28
ALTU,75,15,40.9,44.1,1.73,0.365,0.25,0.06,0.389,0.109,1.18,0.7,2.6,-2.15
ALV2,5,33.3,31.4,35.3,1.66,0.33,0.161,0.054,0.382,0.038,1.44,2.4,1.1,0.41
ALV2,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
ALV2,25,21.2,29.7,49.1,1.58,0.331,0.197,0.065,0.414,0.094,1.28,8.2,2.5,-0.58
ALV2,45,18.4,36.9,44.7,1.67,0.328,0.21,0.062,0.39,0.12,1.23,2.9,3.1,-1.41
ALV2,60,19.8,29.8,50.5,1.64,0.321,0.228,0.073,0.398,0.228,1.2,6.7,5.4,-2.88
ALV2,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
ANT2,5,55.9,35.3,8.8,1.45,0.233,0.056,0.024,0.365,0.074,1.49,28.9,3.6,0.29
ANT2,10,56.3,33,10.7,1.54,0.225,0.049,0.023,0.347,0.067,1.51,18.5,3.1,0.28
ANT2,25,57.9,31.2,10.9,1.71,0.176,0.074,0.028,0.318,0.256,1.33,16.9,12.1,-1.24
ANT2,45,51.1,26.9,22,1.71,0.278,0.111,0.04,0.347,0.047,1.47,3.7,1.6,0.27
ANT2,60,47.7,26.8,25.5,1.69,0.235,0.131,0.047,0.347,0.208,1.29,10,7.2,-1.42
